DAY,DAY_index,MONTH,MONTH_index,YEAR,YEAR_index,VAR_7MA_FRONT_AXLE_TYPE,VAR_7MA_FRONT_AXLE_TYPE_index,VAR_DPX_ENGINE_TYPE,VAR_DPX_ENGINE_TYPE_index,VAR_T1X_PTO_ENGINE_MOUNTED_REAR,VAR_T1X_PTO_ENGINE_MOUNTED_REAR_index,VAR_4DX_FRONT_BUMPER,VAR_4DX_FRONT_BUMPER_index,VAR_F1X_REAR_AXLE_LOAD,VAR_F1X_REAR_AXLE_LOAD_index,VAR_FTX_GROUND_CLEARANCE_FA,VAR_FTX_GROUND_CLEARANCE_FA_index,VAR_CKX_VEHICLE_PROFILE,VAR_CKX_VEHICLE_PROFILE_index,VAR_KTX_ENGINE_EMISSION_CONTROL,VAR_KTX_ENGINE_EMISSION_CONTROL_index,VAR_3ZB_TRANSMISSION_PTO_TORQUE_CAP,VAR_3ZB_TRANSMISSION_PTO_TORQUE_CAP_index,VAR_QCX_TOPOGRAPHY,VAR_QCX_TOPOGRAPHY_index,VAR_YLX_REAR_SUSPENSION_SYSTEM,VAR_YLX_REAR_SUSPENSION_SYSTEM_index,VAR_DKX_GROSS_COMBINATION_WEIGHT,VAR_DKX_GROSS_COMBINATION_WEIGHT_index,VAR_2RB_BATTERY_MAINTENANCE,VAR_2RB_BATTERY_MAINTENANCE_index,VAR_FAX_STEERING_WHEEL_POS,VAR_FAX_STEERING_WHEEL_POS_index,VAR_2CX_CAB_VERSION,VAR_2CX_CAB_VERSION_index,VAR_2DX_REAR_CAB_SUSPENSION,VAR_2DX_REAR_CAB_SUSPENSION_index,VAR_GSX_CHASSIS_HEIGHT,VAR_GSX_CHASSIS_HEIGHT_index,VAR_FFX_PUSHER_AXLE_FEATURES,VAR_FFX_PUSHER_AXLE_FEATURES_index,VAR_5CB_AIR_SUSP_FEATURE_SOFTWARE,VAR_5CB_AIR_SUSP_FEATURE_SOFTWARE_index,VAR_2GB_CLUTCHABLE_AIR_COMPRESSOR,VAR_2GB_CLUTCHABLE_AIR_COMPRESSOR_index,VAR_5NX_ENGINE_BLOCK_HEATER,VAR_5NX_ENGINE_BLOCK_HEATER_index,VAR_TAX_REAR_AXLE_RATIO,VAR_TAX_REAR_AXLE_RATIO_index,VAR_A3A_IDLE_SHUTDOWN,VAR_A3A_IDLE_SHUTDOWN_index,VAR_2LX_FRONT_CAB_SUSPENSION,VAR_2LX_FRONT_CAB_SUSPENSION_index,VAR_RUX_GEAR_SHIFTING_SYSTEM,VAR_RUX_GEAR_SHIFTING_SYSTEM_index,VAR_U3X_BRAKE_FRONT,VAR_U3X_BRAKE_FRONT_index,VAR_T4X_PTO_TRANSM_MOUNTED,VAR_T4X_PTO_TRANSM_MOUNTED_index,VAR_UBX_HYDRAULIC_PUMP_ENG_MTD,VAR_UBX_HYDRAULIC_PUMP_ENG_MTD_index,VAR_4QB_BODYBUILDER_EL_INTERFCAB_CHAS,VAR_4QB_BODYBUILDER_EL_INTERFCAB_CHAS_index,VAR_REX_CRANK_CASE_VENTILATION,VAR_REX_CRANK_CASE_VENTILATION_index,VAR_78X_TRANSPORT_CYCLE,VAR_78X_TRANSPORT_CYCLE_index,VAR_T2X_TRANSMISSIONRETARDER_COOLER,VAR_T2X_TRANSMISSIONRETARDER_COOLER_index,VAR_U4X_BRAKE_DRIVE_REAR,VAR_U4X_BRAKE_DRIVE_REAR_index,VAR_FVX_FRONT_AXLE_LOAD,VAR_FVX_FRONT_AXLE_LOAD_index,VAR_VWX_COMPRESSOR_CAPACITY,VAR_VWX_COMPRESSOR_CAPACITY_index,VAR_DAX_AXLE_ARRANGEMENT,VAR_DAX_AXLE_ARRANGEMENT_index,VAR_H1B_TURBO_APPLICATION,VAR_H1B_TURBO_APPLICATION_index,VAR_FDX_REAR_AXLE_ARRANGEMENT,VAR_FDX_REAR_AXLE_ARRANGEMENT_index,VAR_7PX_HYDRAULIC_PUMP_GEARBOX_MOUNTED,VAR_7PX_HYDRAULIC_PUMP_GEARBOX_MOUNTED_index,VAR_7NA_FRONT_SUSPENSION_INSTALLATION,VAR_7NA_FRONT_SUSPENSION_INSTALLATION_index,VAR_LKX_DRIVER_STATE_SENSING_SYSTEM,VAR_LKX_DRIVER_STATE_SENSING_SYSTEM_index,VAR_QWX_TURBO,VAR_QWX_TURBO_index,VAR_FZX_FRONT_AXLE_ARRANGEMENT,VAR_FZX_FRONT_AXLE_ARRANGEMENT_index,VAR_V6X_RETARDER,VAR_V6X_RETARDER_index,VAR_K4C_VEHICLE_UPTIME_SETTINGS,VAR_K4C_VEHICLE_UPTIME_SETTINGS_index,VAR_0RA_REGENERATION_CONTROLS_DPF,VAR_0RA_REGENERATION_CONTROLS_DPF_index,VAR_YKX_FRONT_SUSPENSION_SYSTEM,VAR_YKX_FRONT_SUSPENSION_SYSTEM_index,VAR_T3X_PTO_ENGINE_REAR_MOUNTED,VAR_T3X_PTO_ENGINE_REAR_MOUNTED_index,VAR_PJX_ALTERNATOR_CAPACITY,VAR_PJX_ALTERNATOR_CAPACITY_index,VAR_41X_PARKING_HEATER,VAR_41X_PARKING_HEATER_index,VAR_D7C_WHOLE_VEHICLE_TYPE_APPROVAL,VAR_D7C_WHOLE_VEHICLE_TYPE_APPROVAL_index,VAR_5JB_TELEMATICS_COMMUNICAT_GATEWAYS,VAR_5JB_TELEMATICS_COMMUNICAT_GATEWAYS_index,VAR_RWX_TRANSMISSION,VAR_RWX_TRANSMISSION_index,VAR_DHX_ROAD_CONDITION,VAR_DHX_ROAD_CONDITION_index,VAR_2EX_CAB_TILT_PUMP,VAR_2EX_CAB_TILT_PUMP_index,VAR_D9C_EMISSION_LEVEL,VAR_D9C_EMISSION_LEVEL_index,VAR_DDX_CHASSIS_TYPE,VAR_DDX_CHASSIS_TYPE_index,VAR_O8A_ENGINE_PTO_TORQUE_CAPACITY,VAR_O8A_ENGINE_PTO_TORQUE_CAPACITY_index,VAR_33A_CAB_HEIGHT,VAR_33A_CAB_HEIGHT_index,VAR_J2A_ACTIVE_STEERING,VAR_J2A_ACTIVE_STEERING_index,VAR_N9C_ADR_CLASSIFICATION,VAR_N9C_ADR_CLASSIFICATION_index,VFE_0001_HORSE_POWER,VFE_0001_HORSE_POWER_index,VFE_0002_GROSS_COMBINATION_WEIGHT_BIN,VFE_0002_GROSS_COMBINATION_WEIGHT_BIN_index,VFE_0003_ENGINE_GENERATION,VFE_0003_ENGINE_GENERATION_index,VFE_0004_REAR_AXLE_LOAD_BIN,VFE_0004_REAR_AXLE_LOAD_BIN_index,VFE_0005_REAR_AXLE_RATIO_BIN,VFE_0005_REAR_AXLE_RATIO_BIN_index,VFE_0009_LTVF_TYPE,VFE_0009_LTVF_TYPE_index,VFE_0005_VEHICLE_OPERATION_DIGIT1,VFE_0005_VEHICLE_OPERATION_DIGIT1_index,VFE_0006_VEHICLE_OPERATION_DIGIT2,VFE_0006_VEHICLE_OPERATION_DIGIT2_index,VFE_0007_CAB_HEIGHT,VFE_0007_CAB_HEIGHT_index,VFE_0008_HAS_PTO,VFE_0008_HAS_PTO_index
15,0,6,0,2016,0,FAT-RIG,0,ENG-VE13,0,UPTER,0,BUMP-B,0,RAL13,0,FA-MED,0,TYPE-FH,0,EM-EU6,0,TPTT600,0,T-PFLAT,0,RSS-AIR,0,GCW44.0,0,UBAMAFRE,0,STWPOS-L,0,CAB-HSLP,0,RCABS-M,0,CHH-MED,0,UPAXLE,0,ASF-DL3,0,UCLUAIRC,0,UEBHEAT,0,RAT2.64,0,UEIDLESD,0,FCABS-M,0,GSS-AGS,0,BF-DILW,0,WithPTTR,0,UHPE,0,UBBCHAS,0,CCV-C,0,TC-LONGD,0,UTCOOL,0,BR-DILW,0,FAL7.5,0,2COMP900,0,4*2,0,TURBO-S,0,RAA11,0,UHPG,0,FSI-LEAF,0,UDAS,0,TURB-HD,0,FAA1,0,URETARD,0,VUPT-A1,0,DRC-AUTO,0,FSS-LEAF,0,UPTOENGR,0,24AL150B,0,PH-CAB2,0,WVTA-EC,0,TGW-3GWL,0,AT261,0,RC-SMOOT,0,CTILTP-M,0,EML-BAS,0,TRACTOR,0,UEPTT,0,CABH215,0,UACTST,0,ADRC-FL,0,Low,0,Med,0,K,0,RAL13,0,RAL13,0,INTERREG_HAUL,0,2,0,8,0,CABH215,0,1,0
1,1,7,1,2017,1,FAT-IND,1,ENG-VE16,1,WPTER,1,BUMP-B2,1,RAL26,1,FA-HIGH,1,TYPE-FM,1,EM-EU5,1,UTPTT,1,T-FLAT,1,RSS-LEAF,1,GCW50.0,1,BAMAFREE,1,STWPOS-R,1,CAB-DAY,1,RCABS-A,1,CHH-HIGH,1,PA-HYDRS,1,ASF-DL1,1,CLU-AIRC,1,220EBH15,1,RAT3.61,1,EIDLESD,1,FCABS-A,1,GSS-MAN,1,BF-DIBAS,1,UPTOTR,1,With HPE,1,BBCHAS1,1,CCV-OX,1,TC-CONST,1,WTCOOL,1,BR-DIBAS,1,FAL9.0,1,2COM1100,1,6*4,1,TURBO-D,1,RAA22,1,WithHPG,1,FSI-REAC,1,DAS-W,1,TURB-B,1,FAA2,1,RET-TH,1,VUPT-A2,1,NONE,1,FSS-AIR,1,PTOENG-R,1,24AL120B,1,PH-ENGCA,1,UWVTAPPR,1,TGW-PK,1,ATO35,1,RC-ROUGH,1,CTILTP-E,1,EML4,1,RIGID,1,EPTT650,1,CABH165,1,ACTST-TO,1,UADRC,1,High,1,High,1,C,1,HIGH,1,RAL26,1,HEAVY_CONSTR,1,1,1,2,1,CABH165,1,0,1
,,8,2,2018,2,,,ENG-VE11,2,,,BUMP-HD,2,RAL19,2,FA-LOW,2,,,,,TPTT730,2,T-HILLY,2,,,GCW56.0,2,,,,,CAB-XHSL,2,,,CHH-XLOW,2,PA-FIXED,2,UASF,2,,,,,RAT2.85,2,,,,,GSS-PS,2,BF-DRCAS,2,,,,,BBCHAS3,2,CCV-O,2,TC-DISTR,2,,,BR-DRCAS,2,FAL8.0,2,2COM1080,2,6*2,2,,,RAA21T,2,,,FSI-TARM,2,,,,,,,,,UVUPT,2,DRC-AMII,2,,,,,24AL110B,2,UPARKH,2,,,,,AT241,2,,,,,EML1,2,,,EPTT1000,2,CABH230,2,,,ADRC-BAS,2,Med,2,Low,2,G,2,RAL19,2,RAL19,2,DEMAND_LONG_HAUL,2,4,2,1,2,CABH230,2,,
,,9,3,2019,3,,,,,,,,,RAL11.5,3,FA-XHIGH,3,,,,,TPTT1000,3,,,,,GCW60.0,3,,,,,CAB-SLP,3,,,CHH-LOW,3,,,,,,,,,RAT2.47,3,,,,,,,,,,,,,,,,,,,,,,,FAL7.1,3,,,8*4,3,,,RAA32T,3,,,FSI-DWIS,3,,,,,,,,,,,DRC-MIMI,3,,,,,,,PH-SS,3,,,,,SPO28,3,,,,,EML8,3,,,,,CABH175,3,,,ADRC-AT,3,,,,,,,RAL11.5,3,RAL11.5,3,LIGHT_CONSTR,3,5,3,3,3,CABH175,3,,
,,10,4,,,,,,,,,,,RAL11.7,4,FA-XXHIG,4,,,,,TPTT870,4,,,,,GCW70.0,4,,,,,CAB-LSLP,4,,,CHH-XHIG,4,,,,,,,,,RAT3.08,4,,,,,,,,,,,,,,,,,,,,,,,FAL8.5,4,,,8*2,4,,,RAA21P,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,4,,,,,,,,,,,CABH210,4,,,,,,,,,,,RAL11.7,4,RAL11.7,4,DIST,4,6,4,4,4,CABH210,4,,
,,11,5,,,,,,,,,,,RAL23,5,,,,,,,,,,,,,GCW52.0,5,,,,,,,,,CHH-XXHI,5,,,,,,,,,RAT2.31,5,,,,,,,,,,,,,,,,,,,,,,,FAL20.0,5,,,4*4,5,,,RAA32P,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATO31,5,,,,,,,,,,,CABH225,5,,,,,,,,,,,RAL23,5,RAL23,5,NONE,5,,,5,5,CABH225,5,,
,,12,6,,,,,,,,,,,RAL32,6,,,,,,,,,,,,,GCW80.0,6,,,,,,,,,,,,,,,,,,,RAT3.10,6,,,,,,,,,,,,,,,,,,,,,,,FAL10.0,6,,,,,,,RAA31PT,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATO26,6,,,,,,,,,,,CABH155,6,,,,,,,,,,,RAL21,6,HIGH,6,,,,,6,6,Low,6,,
,,1,7,,,,,,,,,,,RAL21,7,,,,,,,,,,,,,GCW65.0,7,,,,,,,,,,,,,,,,,,,RAT2.79,7,,,,,,,,,,,,,,,,,,,,,,,FAL16.0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VT221,7,,,,,,,,,,,,,,,,,,,,,,,RAL22,7,RAL21,7,,,,,7,7,,,,
,,2,8,,,,,,,,,,,RAL27,8,,,,,,,,,,,,,GCW32.0,8,,,,,,,,,,,,,,,,,,,RAT3.40,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAL20.5,8,RAL27,8,,,,,Other,8,,,,
,,3,9,,,,,,,,,,,RAL22,9,,,,,,,,,,,,,GCW100.0,9,,,,,,,,,,,,,,,,,,,RAT2.50,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAL16,9,RAL32,9,,,,,,,,,,
,,4,10,,,,,,,,,,,RAL20.5,10,,,,,,,,,,,,,GCW40.0,10,,,,,,,,,,,,,,,,,,,RAT5.41,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAL22.5,10,RAL22,10,,,,,,,,,,
,,5,11,,,,,,,,,,,RAL33,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAT2.83,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAL20.5,11,,,,,,,,,,
